Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
ЛЫЖНЫЙ СЕЗОН В РАЗГАРЕ	Январь 29th, 2016 12:07 ПП	-	Спорт	2016/January/28.txt	лыжный сезон в разгар
НИЗКИЙ ВАМ ПОКЛОН, ЛЮДИ ДОБРЫЕ	Январь 29th, 2016 12:05 ПП	-	Разное	2016/January/29.txt	низкий вы поклон, человек добрый
ГЕНЕТИЧЕСКИЕ ДАННЫЕ В ЭЛЕКТРОННОЙ БАЗЕ	Февраль 3rd, 2016 09:05 ДП	-	Район: день за днем	2016/February/30.txt	генетический данные в электронный база
МОЯ СЕМЕЙНАЯ РЕЛИКВИЯ	Февраль 3rd, 2016 09:04 ДП	-	Это интересно	2016/February/31.txt	мой семейный реликвия
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Февраль 3rd, 2016 09:01 ДП	-	Народ и власть	2016/February/32.txt	в правительство область
ЗЕМЕЛЬНЫЕ УЧАСТКИ — МНОГОДЕТНЫМ СЕМЬЯМ	Февраль 3rd, 2016 09:00 ДП	-	В администрации района	2016/February/33.txt	земельный участок — многодетный семья
ИНФОРМКУРЬЕР	Февраль 3rd, 2016 09:00 ДП	-	Район: день за днем	2016/February/34.txt	информкурьер
СЛОВО ДЕПУТАТУ	Февраль 3rd, 2016 08:59 ДП	-	Народ и власть	2016/February/35.txt	слово депутат
АКЦЕНТ — НА ВОЛОНТЕРСКУЮ РАБОТУ	Февраль 3rd, 2016 08:58 ДП	-	В администрации района	2016/February/36.txt	акцент — на волонтерский работа
СЛОВА БЛАГОДАРНОСТИ	Февраль 3rd, 2016 08:57 ДП	-	Разное	2016/February/37.txt	слово благодарность
ФОТООТЧЕТ с районного мероприятия, посвященного ДНЮ МАТЕРИ	Ноябрь 27th, 2015 10:02 ДП	-	Разное	2015/November/38.txt	фотоотчет с районный мероприятие, посвящать день мать
ЧЕСТВОВАЛИ МАТЕРЕЙ	Ноябрь 27th, 2015 09:23 ДП	-	Наши земляки	2015/November/39.txt	чествовать мать
СПОРТЗАЛ ОТРЕМОНТИРОВАН	Ноябрь 27th, 2015 09:22 ДП	-	Район: день за днем	2015/November/40.txt	спортзал отремонтировать
КОНКУРС ПО ПРЕДОСТАВЛЕНИЮ ГРАНТОВ	Ноябрь 27th, 2015 09:21 ДП	-	Службы информируют	2015/November/41.txt	конкурс по предоставление грант
ЛЮБИТЬ МИР ВОКРУГ СЕБЯ	Ноябрь 27th, 2015 09:20 ДП	-	Это интересно	2015/November/42.txt	любить мир вокруг себя
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Ноябрь 27th, 2015 09:20 ДП	-	Народ и власть	2015/November/43.txt	в правительство область
ВСЕРОССИЙСКАЯ ДЕКАДА ПОДПИСКИ	Ноябрь 25th, 2015 12:17 ПП	-	Информация	2015/November/44.txt	всероссийский декада подписка
НАГРАДА ОТЦА ВРУЧЕНА СЫНУ	Ноябрь 25th, 2015 11:50 ДП	-	К 70-летию Великой Победы	2015/November/45.txt	награда отец вручать сын
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Ноябрь 25th, 2015 11:49 ДП	-	Народ и власть	2015/November/46.txt	в правительство область
ИНФОРМКУРЬЕР	Ноябрь 25th, 2015 11:48 ДП	-	Район: день за днем	2015/November/47.txt	информкурьер
Антинаркотический месячник «Брянщина — жизнь без наркотиков!»	Сентябрь 30th, 2015 01:04 ПП	-	Информация	2015/September/48.txt	антинаркотический месячник «брянщина — жизнь без наркотик!»
ДЕНЬ ПОЖИЛЫХ ЛЮДЕЙ	Сентябрь 30th, 2015 10:15 ДП	-	Разное	2015/September/49.txt	день пожилой человек
АЛЕКСАНДР БОГОМАЗ ВСТУПИЛ В ДОЛЖНОСТЬ ГУБЕРНАТОРА БРЯНСКОЙ ОБЛАСТИ	Сентябрь 30th, 2015 10:10 ДП	-	Народ и власть	2015/September/50.txt	александр богомаз вступать в должность губернатор брянский область
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Сентябрь 30th, 2015 10:09 ДП	-	Народ и власть	2015/September/51.txt	в правительство область
«КРОСС НАЦИИ-2015» ВЫИГРАЛ ВЕТЕРАН ИЗ ГОСОМЫ	Сентябрь 30th, 2015 10:07 ДП	-	Спорт	2015/September/52.txt	«кросс нация-2015» выигрывать ветеран из госома
ИДЕТ ВСЕОБЩАЯ ДИСПАНСЕРИЗАЦИЯ	Сентябрь 30th, 2015 10:05 ДП	-	Здоровье	2015/September/53.txt	идти всеобщий диспансеризация
ИНФОРМКУРЬЕР	Сентябрь 30th, 2015 10:04 ДП	-	Район: день за днем	2015/September/54.txt	информкурьер
ОТКРЫТИЕ НОВОГО ПАРКА В БРЯНСКОМ ГОСУДАРСТВЕННОМ АГРАРНОМ УНИВЕРСИТЕТЕ	Сентябрь 30th, 2015 10:03 ДП	-	Район: день за днем	2015/September/55.txt	открытие новый парк в брянский государственный аграрный университет
ЖИВИ И ПРОЦВЕТАЙ, РОДНАЯ ШКОЛА!	Сентябрь 30th, 2015 10:02 ДП	-	Разное	2015/September/56.txt	жить и процветать, родной школа!
Р Е Ш Е Н И Е ТЕРРИТОРИАЛЬНОЙ ИЗБИРАТЕЛЬНОЙ КОМИССИИ БРЯНСКОГО  РАЙОНА (с полномочиями окружных избирательных комиссий №10 и №12 муниципального образования «Свенское сельское поселение»)	Июль 31st, 2015 12:50 ПП	-	Информация	2015/July/57.txt	р е ш е н и е территориальный избирательный комиссия брянский  район (с полномочие окружной избирательный комиссия №10 и №12 муниципальный образование «свенское сельский поселение»)
ВНИМАТЕЛЬНЫЙ И ПРОФЕССИОНАЛЬНЫЙ ПОДХОД К РАЗВИТИЮ АПК	Июль 31st, 2015 08:59 ДП	-	Народ и власть	2015/July/58.txt	внимательный и профессиональный подход к развитие апк
ОБ ИТОГАХ РАБОТЫ В ПЕРИОД ВЕСЕННЕЙ СЕССИИ 2015 ГОДА	Июль 31st, 2015 08:58 ДП	-	Народ и власть	2015/July/59.txt	об итог работа в период весенний сессия 2015 год
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ  	Июль 31st, 2015 08:57 ДП	-	Народ и власть	2015/July/60.txt	в правительство область  
ДЕЛА АРХИВНЫЕ В ПОРЯДКЕ	Июль 31st, 2015 08:57 ДП	-	Наши земляки	2015/July/61.txt	дело архивный в порядок
ПРАЗДНИК «КРЫЛАТОЙ ПЕХОТЫ»	Июль 31st, 2015 08:56 ДП	-	Профессиональный праздник	2015/July/62.txt	праздник «крылатый пехота»
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Июль 31st, 2015 08:55 ДП	-	Народ и власть	2015/July/63.txt	в брянский областной дума
«Я ВЫБИРАЮ БУДУЩЕЕ!»	Июль 31st, 2015 08:54 ДП	-	Разное	2015/July/64.txt	«я выбирать будущее!»
БРОНХИАЛЬНАЯ АСТМА: ЧТО НУЖНО ЗНАТЬ О НЕЙ	Июль 31st, 2015 08:51 ДП	-	Здоровье	2015/July/65.txt	бронхиальный астма: что нужно знать о она
ЧИТАЕМ ВМЕСТЕ	Июль 31st, 2015 08:50 ДП	-	Это интересно	2015/July/66.txt	читать вместе
Поздравление с международным днем защиты детей	Май 29th, 2015 04:29 ПП	Уполномоченный по правам ребенка в Брянской области   Елена Литвякова	Разное	2015/May/67.txt	поздравление с международный день защита ребенок
НА ТАКИХ ЛЮДЯХ РОССИЯ ДЕРЖИТСЯ	Май 29th, 2015 04:23 ПП	Виктор ПИСАРЕВ.	«Творцы Победы»	2015/May/68.txt	на такой человек россия держаться
ПОЗДРАВИЛИ ВЕТЕРАНОВ	Май 29th, 2015 04:22 ПП	Е.П. Шубина.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/69.txt	поздравлять ветеран
«Я ОБЕЩАЛ ВЕРНУТЬСЯ, МАМА…»	Май 29th, 2015 04:22 ПП	Александр КАЗАКОВ.	Наши земляки	2015/May/70.txt	«я обещать вернуться, мама…»
КТО ЕСТЬ КТО В БРЯНСКОМ ПРАВИТЕЛЬСТВЕ: АЛЕКСАНДР РЕЗУНОВ	Май 29th, 2015 04:21 ПП	Интернет-газета	Народ и власть	2015/May/71.txt	кто быть кто в брянский правительство: александр резунов
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Май 29th, 2015 04:20 ПП	-	Народ и власть	2015/May/72.txt	в правительство область
В БРЯНСКОЙ ОБЛАСТИ СОЗДАНА РАБОЧАЯ ГРУППА ОНФ ПО ЗАЩИТЕ ЛЕСА	Май 29th, 2015 04:19 ПП	Татьяна Лытенкова.	Народ и власть	2015/May/73.txt	в брянский область создавать рабочий группа онф по защита лес
НА БРЯНЩИНЕ БУДУТ ЧЕСТВОВАТЬ ЛУЧШИХ  РАБОТОДАТЕЛЕЙ	Май 29th, 2015 04:19 ПП	-	Службы информируют	2015/May/74.txt	на брянщина быть чествовать хороший  работодатель
ДЕНЬ СЕМЬИ В КРУГУ СЕМЬИ…	Май 29th, 2015 04:18 ПП	Елена Артикуленко,	Наши земляки	2015/May/75.txt	день семья в круг семья…
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Май 28th, 2015 11:25 ДП	-	Народ и власть	2015/May/76.txt	в правительство область
НАДЁЖНЫЙ ВЕТЕРАН НАДЁЖИН	Март 31st, 2015 10:22 ДП	Марина СТЕПАНОВА	«Творцы Победы»	2015/March/77.txt	надежный ветеран надежина
МЫ ПОМНИМ СВОИХ ГЕРОЕВ	Март 27th, 2015 09:49 ДП	Валентин СТЕПАНОВ.    	Социальная поддержка участников Великой Отечественной войны	2015/March/78.txt	мы помнить свой герой
НАСТУПИЛ ПОЖАРООПАСНЫЙ ПЕРИОД	Март 27th, 2015 09:45 ДП	Отдел по ГО и ЧС администрации Брянского района.	Службы информируют	2015/March/79.txt	наступать пожароопасный период
«РЕЗИНОВЫЕ» ДОМА	Март 27th, 2015 09:44 ДП	Дмитрий БАЛИН,	Службы информируют	2015/March/80.txt	«резиновый» дом
В ГОСТЯХ У ВЕТЕРАНА	Март 27th, 2015 09:42 ДП	 Елизавета Денисенко, Сергей Рожков.	Районные, областные и федеральные акции	2015/March/81.txt	в гость у ветеран
ДВИЖЕНИЕ БЕЗ ОТКАТА	Март 27th, 2015 09:41 ДП	Александр Федосов,	Народ и власть	2015/March/82.txt	движение без откат
В СОВРЕМЕННЫХ УСЛОВИЯХ ПАТРИОТИЧЕСКОЕ ВОСПИТАНИЕ МОЛОДЕЖИ ОСОБЕННО ВАЖНО	Март 27th, 2015 09:41 ДП	Светлана РОМАШОВА.	Народ и власть	2015/March/83.txt	в современный условие патриотический воспитание молодежь особенно важно
АЛОЕ ЗНАМЯ ПОБЕДЫ — СИМВОЛ ДРУЖБЫ И СЧАСТЬЯ	Март 27th, 2015 09:40 ДП	Александр Баранов.	Районные, областные и федеральные акции	2015/March/84.txt	алый знамя победа — символ дружба и счастие
БРАТСКИЕ МОГИЛЫ ХРАНЯТ ПАМЯТЬ О ВОЙНЕ	Март 27th, 2015 09:38 ДП	Андрей Геращенков,	Увековечение памяти защитников Отечества	2015/March/85.txt	братский могила хранить память о война
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Март 27th, 2015 09:37 ДП	-	Народ и власть	2015/March/86.txt	в правительство область
         ГЛАВА БРЯНСКОЙ ОБЛАСТИ АЛЕКСАНДР БОГОМАЗ ВСТРЕТИЛСЯ С ПРЕМЬЕР-МИНИСТРОМ РФ ДМИТРИЕМ МЕДВЕДЕВЫМ	Январь 30th, 2015 11:13 ДП	-	Народ и власть	2015/January/87.txt	         глава брянский область александр богомаз встречаться с премьер-министр рф дмитрий медведев
СОСТОИТСЯ ПРИЕМ	Январь 30th, 2015 11:07 ДП	-	Информация	2015/January/88.txt	состояться прием
ПАМЯТИ ДЕТСТВА ВЕРНА	Январь 30th, 2015 11:06 ДП	-	«Творцы Победы»	2015/January/89.txt	память детство верн
Николай ЯКУШЕНКО: ГЛАВНОЕ — СОЦИАЛЬНО-ЭКОНОМИЧЕСКАЯ	Январь 30th, 2015 11:05 ДП	Наталия ТИМАКОВА.  	В администрации района	2015/January/90.txt	николай якушенко: главное — социально-экономический
ПРЕДСЕДАТЕЛЬ ВПП «ЕДИНАЯ РОССИЯ» ПРОВЕЛ ПРИЕМ ГРАЖДАН В БРЯНСКЕ	Январь 30th, 2015 11:04 ДП	-	Народ и власть	2015/January/91.txt	председатель ВПП «единый россия» проводить прием гражданин в брянск
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Январь 30th, 2015 11:03 ДП	-	Народ и власть	2015/January/92.txt	в правительство область
«ЛЫЖНЯ РОССИИ — 2015»	Январь 30th, 2015 11:02 ДП	-	Спорт	2015/January/93.txt	«лыжня россия — 2015»
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Январь 30th, 2015 11:01 ДП	Информационно-аналитический отдел	Народ и власть	2015/January/94.txt	в брянский областной дума
ВЫСОКАЯ НАГРАДА	Январь 30th, 2015 11:01 ДП	 Артур АЗАРОВ.	В администрации района	2015/January/95.txt	высокий награда
ПРОВЕРКОЙ УСТАНОВЛЕНО…	Январь 30th, 2015 11:00 ДП	По информации, предоставленной прокуратурой	Спрашивали – отвечаем	2015/January/96.txt	проверка устанавливать…
ЗАСЛОН МОШЕННИЧЕСКИМ СХЕМАМ	Ноябрь 28th, 2014 11:35 ДП	-	Народ и власть	2014/November/97.txt	заслон мошеннический схема
ВОТ ТАКАЯ МАМА	Ноябрь 28th, 2014 11:34 ДП	Мария Рогова,	Наши земляки	2014/November/98.txt	вот такой мама
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Ноябрь 28th, 2014 11:29 ДП	Пресс-служба.	Народ и власть	2014/November/99.txt	в правительство область
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Ноябрь 28th, 2014 11:28 ДП	Информационно-аналитический отдел  областной Думы.	Народ и власть	2014/November/100.txt	в брянский областной дума
ЗДОРОВЬЯ И ОПТИМИЗМА!	Ноябрь 28th, 2014 11:27 ДП	Работники	Судьбы людские	2014/November/101.txt	здоровье и оптимизм!
НУЖНА ОБЯЗАТЕЛЬНАЯ ВАКЦИНАЦИЯ!	Ноябрь 28th, 2014 11:26 ДП	Г.В. Сухарева,	Здоровье	2014/November/102.txt	нужный обязательный вакцинация!
КУРСЫ ДЛЯ МОЛОДЫХ МАМ ПО ПОДГОТОВКЕ К ЕГЭ	Ноябрь 28th, 2014 11:25 ДП	Отдел по делам семьи администрации	Информация	2014/November/103.txt	курсы для молодой мама по подготовка к егэ
ВОЗМЕЩЕНИЕ РАСХОДОВ НА ЗУБНОЕ ПРОТЕЗИРОВАНИЕ	Ноябрь 28th, 2014 11:25 ДП	В.А. Зинакова,	Службы информируют	2014/November/104.txt	возмещение расход на зубной протезирование
ВЫБОР ПРОФЕССИИ	Ноябрь 28th, 2014 11:24 ДП	Виолетта БУРНАЙКИНА.	Спрашивали – отвечаем	2014/November/105.txt	выбор профессия
ИНФОРМКУРЬЕР	Ноябрь 28th, 2014 11:22 ДП	-	Район: день за днем	2014/November/106.txt	информкурьер
Об утверждении административного регламента предоставления муниципальной услуги  «Предоставление общедоступного  бесплатного дошкольного образования на территории Брянского района»	Сентябрь 29th, 2014 01:15 ПП	-	Информация	2014/September/107.txt	об утверждение административный регламент предоставление муниципальный услуга  «предоставление общедоступный  бесплатный дошкольный образование на территория брянский район»
ПАМЯТЬ СЛАВНЫХ СОБЫТИЙ	Сентябрь 24th, 2014 03:29 ПП	Елена Багаева.	Наши земляки	2014/September/108.txt	память славный событие
СОРЕВНОВАЛИСЬ ПЯТЬ КОМАНД	Сентябрь 24th, 2014 03:28 ПП	Оксана Кузнецова.	Спорт	2014/September/109.txt	соревноваться пять команда
ВО ИМЯ ПОБЕДЫ	Сентябрь 24th, 2014 03:27 ПП	   Работники Глинищевской библиотеки.	Судьбы людские	2014/September/110.txt	во имя победа
КОМПЬЮТЕР ПРИХОДИТ В ДЕТСКИЙ САД	Сентябрь 24th, 2014 03:27 ПП	Кристина Вырвина,	Разное	2014/September/111.txt	компьютер приходить в детский сад
ТРУДОУСТРОЙСТВО БЕЖЕНЦЕВ	Сентябрь 24th, 2014 03:26 ПП	Пресс-служба Губернатора	Службы информируют	2014/September/112.txt	трудоустройство беженец
НЕ ЗАБЫТЬ НАМ ЭТИ ДНИ	Сентябрь 24th, 2014 03:25 ПП	Г.В. Чеплухова.	Район: день за днем	2014/September/113.txt	не забывать мы этот день
СПАСИБО ЗА ХОРОШЕЕ НАСТРОЕНИЕ!	Сентябрь 24th, 2014 03:24 ПП	     В.Г. Артемкина.	Письмо в газету	2014/September/114.txt	спасибо за хороший настроение!
«ЖИВОЙ КОЛОДЕЦ» БРЯНСКОГО  РАЙОНА	Сентябрь 24th, 2014 03:24 ПП	Надежда Хамицкая.	Район: день за днем	2014/September/115.txt	«живой колодец» брянский  район
ЗА РУЛЁМ КОМБАЙНА	Июль 30th, 2014 10:08 ДП	Валентин Степанов.	Район: день за днем	2014/July/116.txt	за руль комбайн
НЕЗАБЫВАЕМЫЕ ВПЕЧАТЛЕНИЯ	Июль 30th, 2014 10:07 ДП	Милена Балабанова, председатель отделения	Спорт	2014/July/117.txt	незабываемый впечатление
ПРАЗДНУЕТ СЕЛО СВОЙ ДЕНЬ РОЖДЕНЬЯ	Июль 30th, 2014 10:06 ДП	Валентина АФОНИНА,	Разное	2014/July/118.txt	праздновать село свой день рождение
СЛОВА ПРИЗНАТЕЛЬНОСТИ УЧИТЕЛЮ	Июль 30th, 2014 09:11 ДП	Коллектив Глинищевской средней школы.	Наши земляки	2014/July/119.txt	слово признательность учитель
НИКОЛАЙ БЕЛОУС: «ИДУ ПО ЖИЗНИ ВМЕСТЕ С БРЯНЩИНОЙ…»	Июль 30th, 2014 09:10 ДП	Иван СИМУТИН.	Народ и власть	2014/July/120.txt	николай белоус: «идти по жизнь вместе с брянщина…»
ИНФОРМКУРЬЕР	Июль 30th, 2014 09:05 ДП	-	Район: день за днем	2014/July/121.txt	информкурьер
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Июль 30th, 2014 09:04 ДП	Пресс-служба.	В администрации района	2014/July/122.txt	в правительство область
ДИСПАНСЕРИЗАЦИЯ — ЭТО ВАЖНО!	Июль 30th, 2014 09:03 ДП	 Главный врач Брянской ЦРБ,	Здоровье	2014/July/123.txt	диспансеризация — это важно!
Чужих детей не бывает	Июль 29th, 2014 01:06 ПП	-	Разное	2014/July/124.txt	чужой ребенок не бывать
ПРЕЗИДЕНТ РФ ВЕРНУЛ РОССИИ «ЗИМНЕЕ ВРЕМЯ»	Июль 25th, 2014 01:38 ПП	Виктория БУРОВА.	Разное	2014/July/125.txt	президент рф вернуть россия «зимний время»
ЕДИНЫЙ ВСЕРОССИЙСКИЙ КОНЦЕРТ	Май 28th, 2014 02:48 ПП	   Анна ГОНЧАРОВА.	Район: день за днем	2014/May/126.txt	единый всероссийский концерт
ОТКРЫВАЕТСЯ МНОГО ДОРОГ	Май 28th, 2014 02:41 ПП	       Виктор ПИСАРЕВ.    	Район: день за днем	2014/May/127.txt	открываться много дорога
В ДОБРЫЙ ПУТЬ, ВЫПУСКНИКИ!	Май 28th, 2014 02:39 ПП	Виктория БУРОВА.	Район: день за днем	2014/May/128.txt	в добрый путь, выпускник!
ПРИГЛАШАЕМ НА ПРАЗДНИК В МИЧУРИНСКИЙ 	Май 28th, 2014 02:32 ПП	-	Район: день за днем	2014/May/129.txt	приглашать на праздник в мичуринский 
ТЕБЕ, БРЯНЩИНА, СЛАВУ ПОЮ!	Май 28th, 2014 02:31 ПП	Анна Гончарова.	Район: день за днем	2014/May/130.txt	ты, брянщина, слава петь!
УСТАНОВЛЕНЫ ОХРАННЫЕ ЗОНЫ	Май 28th, 2014 02:30 ПП	Брянское отделение охраны ЦМУО ОАО «Газпром».	Службы информируют	2014/May/131.txt	устанавливать охранный зона
ПЕРВЫЕ ОТКРЫТЫЕ ЛЕТНИЕ СЕЛЬСКИЕ СПОРТИВНЫЕ ИГРЫ БРЯНСКОГО РАЙОНА «УРОЖАЙ-2014»	Май 28th, 2014 02:29 ПП	-	Информация	2014/May/132.txt	первый открывать летний сельский спортивный игра брянский район «урожай-2014»
ВЕСТИ ИЗ ГЛИНИЩЕВСКОЙ ДЮСШ	Май 28th, 2014 02:28 ПП	-	Спорт	2014/May/133.txt	весть из глинищевская ДЮСШ
ПРИГЛАШАЕМ НА ПРАЗДНИК В СУПОНЕВО	Май 28th, 2014 02:28 ПП	-	Информация	2014/May/134.txt	приглашать на праздник в супоневый
ИНФОРМКУРЬЕР	Май 28th, 2014 02:26 ПП	-	Район: день за днем	2014/May/135.txt	информкурьер
«В КЛАССИКЕ МОЖНО НАЙТИ ОТВЕТЫ НА ВСЕ ВОПРОСЫ»	Март 15th, 2014 10:37 ДП	-	Наши земляки	2014/March/136.txt	«в классика можно находить ответ на весь вопрос»
НОВЫЙ РЕКОРД	Март 15th, 2014 10:36 ДП	-	Спорт	2014/March/137.txt	новый рекорд
БРЯНСКИЕ ОРБИТЫ КОСМОНАВТОВ	Март 15th, 2014 10:35 ДП	-	Район: день за днем	2014/March/138.txt	брянский орбита космонавт
НЕ БЫТЬ В СТОРОНЕ	Март 15th, 2014 10:34 ДП	-	Службы информируют	2014/March/139.txt	не быть в сторона
ПЕРВЫЙ ВЕСЕННИЙ ПРАЗДНИК	Март 15th, 2014 10:33 ДП	-	Район: день за днем	2014/March/140.txt	первый весенний праздник
С БЛИНАМИ ДА ЗАБАВАМИ!	Март 15th, 2014 10:33 ДП	-	Письмо в газету	2014/March/141.txt	с блин да забава!
ГОРИТ СУХАЯ ТРАВА	Март 15th, 2014 10:32 ДП	-	Службы информируют	2014/March/142.txt	гореть сухой трава
ЗВЕЗДЫ ЗАЖИГАЮТСЯ У НАС	Март 15th, 2014 10:31 ДП	-	Район: день за днем	2014/March/143.txt	звезда зажигаться у мы
ДЛЯ МИЛЫХ ДАМ	Март 15th, 2014 10:29 ДП	-	Район: день за днем	2014/March/144.txt	для милый дама
ПРЕДЛОЖЕНИЯ О СОТРУДНИЧЕСТВЕ	Март 15th, 2014 10:24 ДП	-	Разное	2014/March/145.txt	предложение о сотрудничество
К 70-ЛЕТИЮ ОБРАЗОВАНИЯ	Январь 31st, 2014 12:25 ПП	-	Разное	2014/January/146.txt	к 70-летие образование
