"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"«КРОСС НАЦИИ-2015» ВЫИГРАЛ ВЕТЕРАН ИЗ ГОСОМЫ"	"Сентябрь 30th, 2015 10:07 ДП"	"-"	"Спорт"	"2015/September/52.txt"
"ИДЕТ ВСЕОБЩАЯ ДИСПАНСЕРИЗАЦИЯ"	"Сентябрь 30th, 2015 10:05 ДП"	"-"	"Здоровье"	"2015/September/53.txt"
"ИНФОРМКУРЬЕР"	"Сентябрь 30th, 2015 10:04 ДП"	"-"	"Район: день за днем"	"2015/September/54.txt"
"ОТКРЫТИЕ НОВОГО ПАРКА В БРЯНСКОМ ГОСУДАРСТВЕННОМ АГРАРНОМ УНИВЕРСИТЕТЕ"	"Сентябрь 30th, 2015 10:03 ДП"	"-"	"Район: день за днем"	"2015/September/55.txt"
"ЖИВИ И ПРОЦВЕТАЙ, РОДНАЯ ШКОЛА!"	"Сентябрь 30th, 2015 10:02 ДП"	"-"	"Разное"	"2015/September/56.txt"
"Р Е Ш Е Н И Е ТЕРРИТОРИАЛЬНОЙ ИЗБИРАТЕЛЬНОЙ КОМИССИИ БРЯНСКОГО  РАЙОНА (с полномочиями окружных избирательных комиссий №10 и №12 муниципального образования «Свенское сельское поселение»)"	"Июль 31st, 2015 12:50 ПП"	"-"	"Информация"	"2015/July/57.txt"
"ВНИМАТЕЛЬНЫЙ И ПРОФЕССИОНАЛЬНЫЙ ПОДХОД К РАЗВИТИЮ АПК"	"Июль 31st, 2015 08:59 ДП"	"-"	"Народ и власть"	"2015/July/58.txt"
"ОБ ИТОГАХ РАБОТЫ В ПЕРИОД ВЕСЕННЕЙ СЕССИИ 2015 ГОДА"	"Июль 31st, 2015 08:58 ДП"	"-"	"Народ и власть"	"2015/July/59.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ  "	"Июль 31st, 2015 08:57 ДП"	"-"	"Народ и власть"	"2015/July/60.txt"
"ДЕЛА АРХИВНЫЕ В ПОРЯДКЕ"	"Июль 31st, 2015 08:57 ДП"	"-"	"Наши земляки"	"2015/July/61.txt"
"ПРАЗДНИК «КРЫЛАТОЙ ПЕХОТЫ»"	"Июль 31st, 2015 08:56 ДП"	"-"	"Профессиональный праздник"	"2015/July/62.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Июль 31st, 2015 08:55 ДП"	"-"	"Народ и власть"	"2015/July/63.txt"
"«Я ВЫБИРАЮ БУДУЩЕЕ!»"	"Июль 31st, 2015 08:54 ДП"	"-"	"Разное"	"2015/July/64.txt"
"БРОНХИАЛЬНАЯ АСТМА: ЧТО НУЖНО ЗНАТЬ О НЕЙ"	"Июль 31st, 2015 08:51 ДП"	"-"	"Здоровье"	"2015/July/65.txt"
"ЧИТАЕМ ВМЕСТЕ"	"Июль 31st, 2015 08:50 ДП"	"-"	"Это интересно"	"2015/July/66.txt"
"Поздравление с международным днем защиты детей"	"Май 29th, 2015 04:29 ПП"	"Уполномоченный по правам ребенка в Брянской области   Елена Литвякова"	"Разное"	"2015/May/67.txt"
"НА ТАКИХ ЛЮДЯХ РОССИЯ ДЕРЖИТСЯ"	"Май 29th, 2015 04:23 ПП"	"Виктор ПИСАРЕВ."	"«Творцы Победы»"	"2015/May/68.txt"
"ПОЗДРАВИЛИ ВЕТЕРАНОВ"	"Май 29th, 2015 04:22 ПП"	"Е.П. Шубина."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/69.txt"
"«Я ОБЕЩАЛ ВЕРНУТЬСЯ, МАМА…»"	"Май 29th, 2015 04:22 ПП"	"Александр КАЗАКОВ."	"Наши земляки"	"2015/May/70.txt"
"КТО ЕСТЬ КТО В БРЯНСКОМ ПРАВИТЕЛЬСТВЕ: АЛЕКСАНДР РЕЗУНОВ"	"Май 29th, 2015 04:21 ПП"	"Интернет-газета"	"Народ и власть"	"2015/May/71.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Май 29th, 2015 04:20 ПП"	"-"	"Народ и власть"	"2015/May/72.txt"
"В БРЯНСКОЙ ОБЛАСТИ СОЗДАНА РАБОЧАЯ ГРУППА ОНФ ПО ЗАЩИТЕ ЛЕСА"	"Май 29th, 2015 04:19 ПП"	"Татьяна Лытенкова."	"Народ и власть"	"2015/May/73.txt"
"НА БРЯНЩИНЕ БУДУТ ЧЕСТВОВАТЬ ЛУЧШИХ  РАБОТОДАТЕЛЕЙ"	"Май 29th, 2015 04:19 ПП"	"-"	"Службы информируют"	"2015/May/74.txt"
"ДЕНЬ СЕМЬИ В КРУГУ СЕМЬИ…"	"Май 29th, 2015 04:18 ПП"	"Елена Артикуленко,"	"Наши земляки"	"2015/May/75.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Май 28th, 2015 11:25 ДП"	"-"	"Народ и власть"	"2015/May/76.txt"
"НАДЁЖНЫЙ ВЕТЕРАН НАДЁЖИН"	"Март 31st, 2015 10:22 ДП"	"Марина СТЕПАНОВА"	"«Творцы Победы»"	"2015/March/77.txt"
"МЫ ПОМНИМ СВОИХ ГЕРОЕВ"	"Март 27th, 2015 09:49 ДП"	"Валентин СТЕПАНОВ.    "	"Социальная поддержка участников Великой Отечественной войны"	"2015/March/78.txt"
"НАСТУПИЛ ПОЖАРООПАСНЫЙ ПЕРИОД"	"Март 27th, 2015 09:45 ДП"	"Отдел по ГО и ЧС администрации Брянского района."	"Службы информируют"	"2015/March/79.txt"
"«РЕЗИНОВЫЕ» ДОМА"	"Март 27th, 2015 09:44 ДП"	"Дмитрий БАЛИН,"	"Службы информируют"	"2015/March/80.txt"
"В ГОСТЯХ У ВЕТЕРАНА"	"Март 27th, 2015 09:42 ДП"	" Елизавета Денисенко, Сергей Рожков."	"Районные, областные и федеральные акции"	"2015/March/81.txt"
"ДВИЖЕНИЕ БЕЗ ОТКАТА"	"Март 27th, 2015 09:41 ДП"	"Александр Федосов,"	"Народ и власть"	"2015/March/82.txt"
"В СОВРЕМЕННЫХ УСЛОВИЯХ ПАТРИОТИЧЕСКОЕ ВОСПИТАНИЕ МОЛОДЕЖИ ОСОБЕННО ВАЖНО"	"Март 27th, 2015 09:41 ДП"	"Светлана РОМАШОВА."	"Народ и власть"	"2015/March/83.txt"
"АЛОЕ ЗНАМЯ ПОБЕДЫ — СИМВОЛ ДРУЖБЫ И СЧАСТЬЯ"	"Март 27th, 2015 09:40 ДП"	"Александр Баранов."	"Районные, областные и федеральные акции"	"2015/March/84.txt"
"БРАТСКИЕ МОГИЛЫ ХРАНЯТ ПАМЯТЬ О ВОЙНЕ"	"Март 27th, 2015 09:38 ДП"	"Андрей Геращенков,"	"Увековечение памяти защитников Отечества"	"2015/March/85.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Март 27th, 2015 09:37 ДП"	"-"	"Народ и власть"	"2015/March/86.txt"
"         ГЛАВА БРЯНСКОЙ ОБЛАСТИ АЛЕКСАНДР БОГОМАЗ ВСТРЕТИЛСЯ С ПРЕМЬЕР-МИНИСТРОМ РФ ДМИТРИЕМ МЕДВЕДЕВЫМ"	"Январь 30th, 2015 11:13 ДП"	"-"	"Народ и власть"	"2015/January/87.txt"
"СОСТОИТСЯ ПРИЕМ"	"Январь 30th, 2015 11:07 ДП"	"-"	"Информация"	"2015/January/88.txt"
"ПАМЯТИ ДЕТСТВА ВЕРНА"	"Январь 30th, 2015 11:06 ДП"	"-"	"«Творцы Победы»"	"2015/January/89.txt"
"Николай ЯКУШЕНКО: ГЛАВНОЕ — СОЦИАЛЬНО-ЭКОНОМИЧЕСКАЯ"	"Январь 30th, 2015 11:05 ДП"	"Наталия ТИМАКОВА.  "	"В администрации района"	"2015/January/90.txt"
"ПРЕДСЕДАТЕЛЬ ВПП «ЕДИНАЯ РОССИЯ» ПРОВЕЛ ПРИЕМ ГРАЖДАН В БРЯНСКЕ"	"Январь 30th, 2015 11:04 ДП"	"-"	"Народ и власть"	"2015/January/91.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 30th, 2015 11:03 ДП"	"-"	"Народ и власть"	"2015/January/92.txt"
"«ЛЫЖНЯ РОССИИ — 2015»"	"Январь 30th, 2015 11:02 ДП"	"-"	"Спорт"	"2015/January/93.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Январь 30th, 2015 11:01 ДП"	"Информационно-аналитический отдел"	"Народ и власть"	"2015/January/94.txt"
"ВЫСОКАЯ НАГРАДА"	"Январь 30th, 2015 11:01 ДП"	" Артур АЗАРОВ."	"В администрации района"	"2015/January/95.txt"
"ПРОВЕРКОЙ УСТАНОВЛЕНО…"	"Январь 30th, 2015 11:00 ДП"	"По информации, предоставленной прокуратурой"	"Спрашивали – отвечаем"	"2015/January/96.txt"
"ЗАСЛОН МОШЕННИЧЕСКИМ СХЕМАМ"	"Ноябрь 28th, 2014 11:35 ДП"	"-"	"Народ и власть"	"2014/November/97.txt"
"ВОТ ТАКАЯ МАМА"	"Ноябрь 28th, 2014 11:34 ДП"	"Мария Рогова,"	"Наши земляки"	"2014/November/98.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 28th, 2014 11:29 ДП"	"Пресс-служба."	"Народ и власть"	"2014/November/99.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Ноябрь 28th, 2014 11:28 ДП"	"Информационно-аналитический отдел  областной Думы."	"Народ и власть"	"2014/November/100.txt"
"ЗДОРОВЬЯ И ОПТИМИЗМА!"	"Ноябрь 28th, 2014 11:27 ДП"	"Работники"	"Судьбы людские"	"2014/November/101.txt"
"НУЖНА ОБЯЗАТЕЛЬНАЯ ВАКЦИНАЦИЯ!"	"Ноябрь 28th, 2014 11:26 ДП"	"Г.В. Сухарева,"	"Здоровье"	"2014/November/102.txt"
"КУРСЫ ДЛЯ МОЛОДЫХ МАМ ПО ПОДГОТОВКЕ К ЕГЭ"	"Ноябрь 28th, 2014 11:25 ДП"	"Отдел по делам семьи администрации"	"Информация"	"2014/November/103.txt"
"ВОЗМЕЩЕНИЕ РАСХОДОВ НА ЗУБНОЕ ПРОТЕЗИРОВАНИЕ"	"Ноябрь 28th, 2014 11:25 ДП"	"В.А. Зинакова,"	"Службы информируют"	"2014/November/104.txt"
"ВЫБОР ПРОФЕССИИ"	"Ноябрь 28th, 2014 11:24 ДП"	"Виолетта БУРНАЙКИНА."	"Спрашивали – отвечаем"	"2014/November/105.txt"
"ИНФОРМКУРЬЕР"	"Ноябрь 28th, 2014 11:22 ДП"	"-"	"Район: день за днем"	"2014/November/106.txt"
"Об утверждении административного регламента предоставления муниципальной услуги  «Предоставление общедоступного  бесплатного дошкольного образования на территории Брянского района»"	"Сентябрь 29th, 2014 01:15 ПП"	"-"	"Информация"	"2014/September/107.txt"
"ПАМЯТЬ СЛАВНЫХ СОБЫТИЙ"	"Сентябрь 24th, 2014 03:29 ПП"	"Елена Багаева."	"Наши земляки"	"2014/September/108.txt"
"СОРЕВНОВАЛИСЬ ПЯТЬ КОМАНД"	"Сентябрь 24th, 2014 03:28 ПП"	"Оксана Кузнецова."	"Спорт"	"2014/September/109.txt"
"ВО ИМЯ ПОБЕДЫ"	"Сентябрь 24th, 2014 03:27 ПП"	"   Работники Глинищевской библиотеки."	"Судьбы людские"	"2014/September/110.txt"
"КОМПЬЮТЕР ПРИХОДИТ В ДЕТСКИЙ САД"	"Сентябрь 24th, 2014 03:27 ПП"	"Кристина Вырвина,"	"Разное"	"2014/September/111.txt"
"ТРУДОУСТРОЙСТВО БЕЖЕНЦЕВ"	"Сентябрь 24th, 2014 03:26 ПП"	"Пресс-служба Губернатора"	"Службы информируют"	"2014/September/112.txt"
"НЕ ЗАБЫТЬ НАМ ЭТИ ДНИ"	"Сентябрь 24th, 2014 03:25 ПП"	"Г.В. Чеплухова."	"Район: день за днем"	"2014/September/113.txt"
"СПАСИБО ЗА ХОРОШЕЕ НАСТРОЕНИЕ!"	"Сентябрь 24th, 2014 03:24 ПП"	"     В.Г. Артемкина."	"Письмо в газету"	"2014/September/114.txt"
"«ЖИВОЙ КОЛОДЕЦ» БРЯНСКОГО  РАЙОНА"	"Сентябрь 24th, 2014 03:24 ПП"	"Надежда Хамицкая."	"Район: день за днем"	"2014/September/115.txt"
"ЗА РУЛЁМ КОМБАЙНА"	"Июль 30th, 2014 10:08 ДП"	"Валентин Степанов."	"Район: день за днем"	"2014/July/116.txt"
"НЕЗАБЫВАЕМЫЕ ВПЕЧАТЛЕНИЯ"	"Июль 30th, 2014 10:07 ДП"	"Милена Балабанова, председатель отделения"	"Спорт"	"2014/July/117.txt"
"ПРАЗДНУЕТ СЕЛО СВОЙ ДЕНЬ РОЖДЕНЬЯ"	"Июль 30th, 2014 10:06 ДП"	"Валентина АФОНИНА,"	"Разное"	"2014/July/118.txt"
"СЛОВА ПРИЗНАТЕЛЬНОСТИ УЧИТЕЛЮ"	"Июль 30th, 2014 09:11 ДП"	"Коллектив Глинищевской средней школы."	"Наши земляки"	"2014/July/119.txt"
"НИКОЛАЙ БЕЛОУС: «ИДУ ПО ЖИЗНИ ВМЕСТЕ С БРЯНЩИНОЙ…»"	"Июль 30th, 2014 09:10 ДП"	"Иван СИМУТИН."	"Народ и власть"	"2014/July/120.txt"
"ИНФОРМКУРЬЕР"	"Июль 30th, 2014 09:05 ДП"	"-"	"Район: день за днем"	"2014/July/121.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 30th, 2014 09:04 ДП"	"Пресс-служба."	"В администрации района"	"2014/July/122.txt"
"ДИСПАНСЕРИЗАЦИЯ — ЭТО ВАЖНО!"	"Июль 30th, 2014 09:03 ДП"	" Главный врач Брянской ЦРБ,"	"Здоровье"	"2014/July/123.txt"
"Чужих детей не бывает"	"Июль 29th, 2014 01:06 ПП"	"-"	"Разное"	"2014/July/124.txt"
"ПРЕЗИДЕНТ РФ ВЕРНУЛ РОССИИ «ЗИМНЕЕ ВРЕМЯ»"	"Июль 25th, 2014 01:38 ПП"	"Виктория БУРОВА."	"Разное"	"2014/July/125.txt"
"ЕДИНЫЙ ВСЕРОССИЙСКИЙ КОНЦЕРТ"	"Май 28th, 2014 02:48 ПП"	"   Анна ГОНЧАРОВА."	"Район: день за днем"	"2014/May/126.txt"
"ОТКРЫВАЕТСЯ МНОГО ДОРОГ"	"Май 28th, 2014 02:41 ПП"	"       Виктор ПИСАРЕВ.    "	"Район: день за днем"	"2014/May/127.txt"
"В ДОБРЫЙ ПУТЬ, ВЫПУСКНИКИ!"	"Май 28th, 2014 02:39 ПП"	"Виктория БУРОВА."	"Район: день за днем"	"2014/May/128.txt"
"ПРИГЛАШАЕМ НА ПРАЗДНИК В МИЧУРИНСКИЙ "	"Май 28th, 2014 02:32 ПП"	"-"	"Район: день за днем"	"2014/May/129.txt"
"ТЕБЕ, БРЯНЩИНА, СЛАВУ ПОЮ!"	"Май 28th, 2014 02:31 ПП"	"Анна Гончарова."	"Район: день за днем"	"2014/May/130.txt"
"УСТАНОВЛЕНЫ ОХРАННЫЕ ЗОНЫ"	"Май 28th, 2014 02:30 ПП"	"Брянское отделение охраны ЦМУО ОАО «Газпром»."	"Службы информируют"	"2014/May/131.txt"
"ПЕРВЫЕ ОТКРЫТЫЕ ЛЕТНИЕ СЕЛЬСКИЕ СПОРТИВНЫЕ ИГРЫ БРЯНСКОГО РАЙОНА «УРОЖАЙ-2014»"	"Май 28th, 2014 02:29 ПП"	"-"	"Информация"	"2014/May/132.txt"
"ВЕСТИ ИЗ ГЛИНИЩЕВСКОЙ ДЮСШ"	"Май 28th, 2014 02:28 ПП"	"-"	"Спорт"	"2014/May/133.txt"
"ПРИГЛАШАЕМ НА ПРАЗДНИК В СУПОНЕВО"	"Май 28th, 2014 02:28 ПП"	"-"	"Информация"	"2014/May/134.txt"
"ИНФОРМКУРЬЕР"	"Май 28th, 2014 02:26 ПП"	"-"	"Район: день за днем"	"2014/May/135.txt"
"«В КЛАССИКЕ МОЖНО НАЙТИ ОТВЕТЫ НА ВСЕ ВОПРОСЫ»"	"Март 15th, 2014 10:37 ДП"	"-"	"Наши земляки"	"2014/March/136.txt"
"НОВЫЙ РЕКОРД"	"Март 15th, 2014 10:36 ДП"	"-"	"Спорт"	"2014/March/137.txt"
"БРЯНСКИЕ ОРБИТЫ КОСМОНАВТОВ"	"Март 15th, 2014 10:35 ДП"	"-"	"Район: день за днем"	"2014/March/138.txt"
"НЕ БЫТЬ В СТОРОНЕ"	"Март 15th, 2014 10:34 ДП"	"-"	"Службы информируют"	"2014/March/139.txt"
"ПЕРВЫЙ ВЕСЕННИЙ ПРАЗДНИК"	"Март 15th, 2014 10:33 ДП"	"-"	"Район: день за днем"	"2014/March/140.txt"
"С БЛИНАМИ ДА ЗАБАВАМИ!"	"Март 15th, 2014 10:33 ДП"	"-"	"Письмо в газету"	"2014/March/141.txt"
"ГОРИТ СУХАЯ ТРАВА"	"Март 15th, 2014 10:32 ДП"	"-"	"Службы информируют"	"2014/March/142.txt"
"ЗВЕЗДЫ ЗАЖИГАЮТСЯ У НАС"	"Март 15th, 2014 10:31 ДП"	"-"	"Район: день за днем"	"2014/March/143.txt"
"ДЛЯ МИЛЫХ ДАМ"	"Март 15th, 2014 10:29 ДП"	"-"	"Район: день за днем"	"2014/March/144.txt"
"ПРЕДЛОЖЕНИЯ О СОТРУДНИЧЕСТВЕ"	"Март 15th, 2014 10:24 ДП"	"-"	"Разное"	"2014/March/145.txt"
"К 70-ЛЕТИЮ ОБРАЗОВАНИЯ"	"Январь 31st, 2014 12:25 ПП"	"-"	"Разное"	"2014/January/146.txt"
"ОТКРЫТИЕ ДЕТСКОГО САДА  В ГОСОМЕ"	"Январь 31st, 2014 11:17 ДП"	"-"	"Район: день за днем"	"2014/January/147.txt"
"ВО ИМЯ ПАВШИХ И ЖИВЫХ"	"Январь 31st, 2014 11:14 ДП"	"-"	"Судьбы людские"	"2014/January/148.txt"
"«СПАСИБО ВАМ ЗА ВОЛШЕБСТВО!»"	"Январь 31st, 2014 11:02 ДП"	"-"	"Письмо в газету"	"2014/January/149.txt"
"РОДНИКИ ДЕТСКОГО ТВОРЧЕСТВА"	"Январь 31st, 2014 11:01 ДП"	"-"	"Письмо в газету"	"2014/January/150.txt"
"ВИКТОР ЧАЙКА ВЛЮБИЛСЯ В «ТАРАТОРОК»"	"Январь 31st, 2014 10:59 ДП"	"-"	"Наши земляки"	"2014/January/151.txt"
